id,matchtime,mainteam,visitteam,m_score,v_score
1369,2015-3-28,斯洛伐,卢森堡,3,0
1370,2014-11-18,斯洛伐,芬兰,2,1
1371,2014-10-10,斯洛伐,西班牙,2,1
1372,2014-9-5,斯洛伐,马耳他,1,0
1373,2014-5-24,斯洛伐,黑山,2,0
1374,2013-9-11,斯洛伐,波黑,1,2
1375,2013-3-27,斯洛伐,瑞典,0,0
1376,2013-3-23,斯洛伐,立陶宛,1,1
1377,2012-10-17,斯洛伐,希腊,0,1
1378,2012-10-13,斯洛伐,拉脱维,2,1
1379,2012-9-12,斯洛伐,列支敦,2,0
1380,2011-10-8,斯洛伐,俄罗斯,0,1
1381,2011-9-7,斯洛伐,亚美尼,0,4
1382,2011-6-5,斯洛伐,安道尔,1,0
1383,2011-3-30,斯洛伐,丹麦,1,2
1384,2010-11-17,斯洛伐,波黑,2,3
1385,2010-10-13,斯洛伐,爱尔兰,1,1
1386,2010-9-4,斯洛伐,马其顿,1,0
1387,2010-8-12,斯洛伐,克罗地,1,1
1388,2010-6-24,斯洛伐,意大利,3,2
1389,2010-6-20,斯洛伐,巴拉圭,0,2
1390,2010-6-5,斯洛伐,哥斯达,3,0
1391,2010-5-29,斯洛伐,喀麦隆,1,1
1392,2010-3-3,斯洛伐,挪威,0,1
1393,2009-11-17,斯洛伐,智利,1,2
1394,2009-11-14,斯洛伐,美国,1,0
1395,2009-10-11,斯洛伐,斯洛文,0,2
1396,2009-9-6,斯洛伐,捷克,2,2
1397,2009-6-6,斯洛伐,圣马力,7,0
1399,2008-10-16,斯洛伐,波兰,2,1
1400,2018-3-24,北爱,韩国,2,1
1401,2017-11-10,北爱,瑞士,0,1
1402,2017-10-6,北爱,德国,1,3
1403,2017-9-5,北爱,捷克,2,0
1404,2017-6-3,北爱,新西兰,1,0
1405,2017-3-27,北爱,挪威,2,0
1406,2016-11-16,北爱,克罗地,0,3
1407,2016-11-12,北爱,阿塞拜,4,0
1408,2016-10-9,北爱,圣马力,4,0
1409,2016-6-21,北爱,德国,0,1
1410,2016-5-28,北爱,白俄,3,0
1411,2016-3-29,北爱,斯洛文,1,0
1412,2015-11-14,北爱,拉脱维,1,0
1413,2015-10-9,北爱,希腊,3,1
1414,2015-9-8,北爱,匈牙利,1,1
1415,2015-6-14,北爱,罗马尼,0,0
1416,2015-5-31,北爱,卡塔尔,1,1
1417,2015-3-29,北爱,芬兰,2,1
1418,2014-10-12,北爱,法罗,2,0
1419,2013-9-7,北爱,葡萄牙,2,4
1420,2013-8-15,北爱,俄罗斯,1,0
1421,2013-3-27,北爱,以色列,0,2
1422,2012-11-15,北爱,阿塞拜,1,1
1423,2012-9-12,北爱,卢森堡,1,1
1424,2012-8-16,北爱,芬兰,3,3
1425,2012-3-1,北爱,挪威,0,3
1426,2011-10-8,北爱,爱沙尼,1,2
1427,2011-9-3,北爱,塞尔维,0,1
1428,2011-8-11,北爱,法罗,4,0
1429,2011-3-30,北爱,斯洛文,0,0
1430,2011-2-10,北爱,苏格兰,0,3
1431,2010-11-18,北爱,摩洛哥,1,1
1432,2010-10-9,北爱,意大利,0,0
1433,2010-5-27,北爱,土耳其,0,2
1434,2009-11-15,北爱,塞尔维,0,1
1435,2009-9-10,北爱,斯洛伐,0,2
1436,2009-8-13,北爱,以色列,1,1
1437,2009-4-2,北爱,斯洛文,1,0
1438,2009-3-29,北爱,波兰,3,2
1439,2008-11-20,北爱,匈牙利,0,2
1440,2008-10-16,北爱,圣马力,4,0
1441,2008-9-11,北爱,捷克,0,0
1442,2008-3-27,北爱,格鲁吉,4,1
1443,2008-2-7,北爱,保加利,0,1
1444,2007-11-18,北爱,丹麦,2,1
1445,2007-8-23,北爱,列支敦,3,1
1446,2007-3-29,北爱,瑞典,2,1
1450,2018-6-6,罗马尼,芬兰,2,0
1451,2018-5-31,罗马尼,智利,3,2
1452,2018-3-28,罗马尼,瑞典,1,0
1453,2017-11-15,罗马尼,荷兰,0,3
1454,2017-11-10,罗马尼,土耳其,2,0
1455,2017-10-6,罗马尼,哈萨克,3,1
1456,2017-9-2,罗马尼,亚美尼,1,0
1457,2017-6-14,罗马尼,智利,3,2
1458,2017-3-27,罗马尼,丹麦,0,0
1459,2016-11-12,罗马尼,波兰,0,3
1460,2016-9-5,罗马尼,黑山,1,1
1461,2016-6-20,罗马尼,阿尔巴,0,1
1462,2016-6-15,罗马尼,瑞士,1,1
1463,2016-6-4,罗马尼,格鲁吉,5,1
1464,2016-5-30,罗马尼,乌克兰,3,4
1465,2016-3-28,罗马尼,西班牙,0,0
1466,2016-3-24,罗马尼,立陶宛,1,0
1467,2015-10-9,罗马尼,芬兰,1,1
1468,2015-9-8,罗马尼,希腊,0,0
1469,2015-3-29,罗马尼,法罗,1,0
1470,2014-11-19,罗马尼,丹麦,2,0
1471,2014-11-15,罗马尼,北爱,2,0
1472,2014-10-11,罗马尼,匈牙利,1,1
1473,2014-6-1,罗马尼,阿尔巴,1,0
1474,2014-3-6,罗马尼,阿根廷,0,0
1475,2013-11-20,罗马尼,希腊,1,1
1476,2013-10-16,罗马尼,爱沙尼,2,0
1477,2013-9-11,罗马尼,土耳其,0,2
1478,2013-9-7,罗马尼,匈牙利,3,0
1479,2013-8-15,罗马尼,斯洛伐,1,1
1480,2013-6-5,罗马尼,特立尼,4,0
1481,2013-2-7,罗马尼,澳大利,3,2
1482,2012-11-15,罗马尼,比利时,2,1
1483,2012-10-17,罗马尼,荷兰,1,4
1484,2012-9-12,罗马尼,安道尔,4,0
1485,2012-3-1,罗马尼,乌拉圭,1,1
1486,2011-10-8,罗马尼,白俄,2,2
1487,2011-9-7,罗马尼,法国,0,0
1488,2011-6-4,罗马尼,波黑,3,0
1489,2011-3-30,罗马尼,卢森堡,3,1
1491,2010-11-18,罗马尼,意大利,1,1
1492,2010-9-4,罗马尼,阿尔巴,1,1
1493,2010-6-6,罗马尼,洪都拉,3,0
1495,2010-3-4,罗马尼,以色列,0,2
1496,2009-10-15,罗马尼,法罗,3,1
1497,2009-9-10,罗马尼,奥地利,1,1
1498,2009-3-29,罗马尼,塞尔维,2,3
1499,2009-2-12,罗马尼,克罗地,1,2
1500,2017-11-15,爱尔兰,丹麦,1,5
1501,2017-10-7,爱尔兰,摩尔多,2,0
1502,2017-9-6,爱尔兰,塞尔维,0,1
1503,2017-6-11,爱尔兰,奥地利,1,1
1504,2017-6-5,爱尔兰,乌拉圭,3,1
1505,2017-3-29,爱尔兰,冰岛,0,1
1506,2017-3-25,爱尔兰,威尔士,0,0
1507,2016-10-7,爱尔兰,格鲁吉,1,0
1508,2016-9-1,爱尔兰,阿曼,4,0
1509,2016-6-13,爱尔兰,瑞典,1,1
1510,2016-6-1,爱尔兰,白俄,1,2
1511,2016-5-28,爱尔兰,荷兰,1,1
1512,2016-3-30,爱尔兰,斯洛伐,2,2
1513,2016-3-26,爱尔兰,瑞士,1,0
1514,2015-11-17,爱尔兰,波黑,2,0
1515,2015-10-9,爱尔兰,德国,1,0
1516,2015-9-8,爱尔兰,格鲁吉,1,0
1517,2015-6-13,爱尔兰,苏格兰,1,1
1518,2015-6-7,爱尔兰,英格兰,0,0
1519,2015-3-30,爱尔兰,波兰,1,1
1520,2014-11-19,爱尔兰,美国,4,1
1521,2014-10-11,爱尔兰,直布罗,7,0
1522,2014-9-4,爱尔兰,阿曼,2,0
1523,2014-6-7,爱尔兰,哥斯达,1,1
1524,2014-5-26,爱尔兰,土耳其,1,2
1525,2014-3-6,爱尔兰,塞尔维,1,2
1526,2013-11-16,爱尔兰,拉脱维,3,0
1527,2013-10-16,爱尔兰,哈萨克,3,1
1528,2013-9-7,爱尔兰,瑞典,1,2
1529,2013-6-8,爱尔兰,法罗,3,0
1530,2013-3-27,爱尔兰,奥地利,2,2
1531,2013-2-7,爱尔兰,波兰,2,0
1532,2012-11-15,爱尔兰,希腊,0,1
1533,2012-10-13,爱尔兰,德国,1,6
1535,2012-6-11,爱尔兰,克罗地,1,3
1536,2012-5-26,爱尔兰,波黑,1,0
1537,2012-3-1,爱尔兰,捷克,1,1
1538,2011-11-16,爱尔兰,爱沙尼,1,1
1539,2011-10-12,爱尔兰,亚美尼,2,1
1540,2011-9-3,爱尔兰,斯洛伐,0,0
1541,2011-8-11,爱尔兰,克罗地,0,0
1542,2011-6-8,爱尔兰,意大利,2,0
1543,2011-5-30,爱尔兰,苏格兰,1,0
1544,2011-5-25,爱尔兰,北爱,5,0
1545,2011-3-30,爱尔兰,乌拉圭,2,3
1546,2011-3-27,爱尔兰,马其顿,2,1
1548,2010-11-18,爱尔兰,挪威,1,2
1549,2010-10-9,爱尔兰,俄罗斯,2,3
1550,2017-10-11,巴拉圭,委内瑞,0,1
1551,2017-9-6,巴拉圭,乌拉圭,1,2
1552,2017-3-24,巴拉圭,厄瓜多,2,1
1553,2016-11-11,巴拉圭,秘鲁,1,4
1554,2016-10-7,巴拉圭,哥伦比,0,1
1555,2016-9-2,巴拉圭,智利,2,1
1556,2016-3-30,巴拉圭,巴西,2,2
1557,2015-11-18,巴拉圭,玻利维,2,1
1558,2015-10-14,巴拉圭,阿根廷,0,0
1559,2015-6-17,巴拉圭,牙买加,1,0
1560,2015-6-7,巴拉圭,洪都拉,2,2
1561,2014-11-15,巴拉圭,秘鲁,2,1
1562,2014-9-8,巴拉圭,阿联酋,0,0
1563,2014-5-30,巴拉圭,喀麦隆,2,1
1564,2013-10-16,巴拉圭,哥伦比,1,2
1565,2013-9-11,巴拉圭,阿根廷,2,5
1566,2013-9-7,巴拉圭,玻利维,4,0
1567,2013-6-8,巴拉圭,智利,1,2
1569,2012-10-17,巴拉圭,秘鲁,1,0
1570,2012-9-12,巴拉圭,委内瑞,0,2
1571,2012-3-1,巴拉圭,巴拿马,1,0
1573,2011-11-12,巴拉圭,厄瓜多,2,1
1574,2011-10-12,巴拉圭,乌拉圭,1,1
1575,2011-7-21,巴拉圭,委内瑞,0,0
1576,2011-7-14,巴拉圭,委内瑞,3,3
1577,2011-7-4,巴拉圭,厄瓜多,0,0
1578,2011-6-24,巴拉圭,智利,0,0
1579,2011-6-12,巴拉圭,罗马尼,2,0
1580,2011-6-8,巴拉圭,玻利维,0,0
1581,2010-8-12,巴拉圭,哥斯达,2,0
1582,2010-7-4,巴拉圭,西班牙,0,1
1583,2010-6-29,巴拉圭,日本,0,0
1584,2010-6-24,巴拉圭,新西兰,0,0
1585,2010-5-30,巴拉圭,科特迪,2,2
1588,2009-11-14,巴拉圭,卡塔尔,0,2
1589,2009-10-15,巴拉圭,哥伦比,0,2
1590,2009-9-10,巴拉圭,阿根廷,1,0
1591,2009-9-6,巴拉圭,玻利维,1,0
1592,2009-6-7,巴拉圭,智利,0,2
1593,2008-10-16,巴拉圭,秘鲁,1,0
1594,2008-9-10,巴拉圭,委内瑞,2,0
1595,2008-6-16,巴拉圭,巴西,2,0
1596,2007-11-18,巴拉圭,厄瓜多,5,1
1597,2007-10-18,巴拉圭,乌拉圭,1,0
1598,2007-8-23,巴拉圭,委内瑞,1,1
1599,2007-6-29,巴拉圭,哥伦比,5,0
1600,2017-11-13,委内瑞,伊朗,0,1
1601,2017-10-6,委内瑞,乌拉圭,0,0
1602,2017-9-1,委内瑞,哥伦比,0,0
1603,2017-6-9,委内瑞,厄瓜多,1,1
1604,2017-3-24,委内瑞,秘鲁,2,2
1605,2016-11-11,委内瑞,玻利维,5,0
1606,2016-10-12,委内瑞,巴西,0,2
1607,2016-9-7,委内瑞,阿根廷,2,2
1608,2016-3-30,委内瑞,智利,1,4
1610,2015-11-18,委内瑞,厄瓜多,1,3
1611,2015-10-9,委内瑞,巴拉圭,0,1
1612,2015-9-9,委内瑞,巴拿马,1,1
1613,2015-9-5,委内瑞,洪都拉,0,3
1615,2013-10-12,委内瑞,巴拉圭,1,1
1616,2013-9-11,委内瑞,秘鲁,3,2
1617,2013-8-15,委内瑞,玻利维,2,2
1618,2013-6-12,委内瑞,乌拉圭,0,1
1619,2013-3-27,委内瑞,哥伦比,1,0
1620,2012-11-15,委内瑞,尼日利,1,3
1621,2012-10-17,委内瑞,厄瓜多,1,1
1622,2012-6-10,委内瑞,智利,0,2
1624,2011-11-16,委内瑞,玻利维,1,0
1625,2011-10-12,委内瑞,阿根廷,1,0
1626,2011-9-2,委内瑞,阿根廷,0,1
1627,2011-7-10,委内瑞,厄瓜多,1,0
1628,2011-6-8,委内瑞,西班牙,0,3
1629,2011-2-10,委内瑞,哥斯达,2,2
1630,2010-9-8,委内瑞,厄瓜多,1,0
1631,2010-9-4,委内瑞,哥伦比,0,2
1636,2009-10-11,委内瑞,巴拉圭,1,2
1637,2009-9-10,委内瑞,秘鲁,3,1
1638,2009-6-11,委内瑞,乌拉圭,2,2
1640,2009-4-1,委内瑞,哥伦比,2,0
1642,2008-11-20,委内瑞,安哥拉,0,0
1643,2008-10-16,委内瑞,厄瓜多,3,1
1644,2008-10-13,委内瑞,巴西,0,4
1645,2008-6-20,委内瑞,智利,2,3
1646,2008-3-27,委内瑞,玻利维,0,1
1648,2007-11-21,委内瑞,玻利维,5,3
1649,2007-10-17,委内瑞,阿根廷,0,2
1650,2018-6-9,塞尔维,玻利维,5,1
1651,2018-6-5,塞尔维,智利,0,1
1652,2018-3-24,塞尔维,摩洛哥,1,2
1653,2017-10-10,塞尔维,格鲁吉,1,0
1654,2017-9-2,塞尔维,摩尔多,3,0
1655,2017-6-12,塞尔维,威尔士,1,1
1656,2016-10-10,塞尔维,奥地利,3,2
1657,2016-9-6,塞尔维,爱尔兰,2,2
1658,2016-6-5,塞尔维,俄罗斯,1,1
1659,2016-6-1,塞尔维,以色列,3,1
1660,2016-5-25,塞尔维,塞浦路,2,1
1661,2015-10-11,塞尔维,葡萄牙,1,2
1662,2015-9-5,塞尔维,亚美尼,2,0
1663,2015-6-7,塞尔维,阿塞拜,4,1
1664,2014-11-15,塞尔维,丹麦,1,3
1665,2014-10-15,塞尔维,阿尔巴,0,3
1666,2014-9-8,塞尔维,法国,1,1
1667,2014-5-27,塞尔维,牙买加,2,1
1668,2013-10-16,塞尔维,马其顿,5,1
1669,2013-10-11,塞尔维,日本,2,0
1670,2013-9-7,塞尔维,克罗地,1,1
1671,2013-3-27,塞尔维,苏格兰,2,0
1672,2012-10-13,塞尔维,比利时,0,3
1673,2012-9-12,塞尔维,威尔士,6,1
1674,2012-8-16,塞尔维,爱尔兰,0,0
1675,2011-10-8,塞尔维,意大利,1,1
1676,2011-9-7,塞尔维,法罗,3,1
1677,2011-3-26,塞尔维,北爱,2,1
1678,2010-10-9,塞尔维,爱沙尼,1,3
1679,2010-9-8,塞尔维,斯洛文,1,1
1680,2010-8-12,塞尔维,希腊,0,1
1681,2010-6-13,塞尔维,加纳,0,1
1682,2010-6-6,塞尔维,喀麦隆,4,3
1683,2010-6-3,塞尔维,波兰,0,0
1684,2009-10-11,塞尔维,罗马尼,5,0
1685,2009-9-10,塞尔维,法国,1,1
1686,2009-6-7,塞尔维,奥地利,1,0
1687,2009-4-2,塞尔维,瑞典,2,0
1689,2008-11-20,塞尔维,保加利,6,1
1690,2008-10-12,塞尔维,立陶宛,3,0
1691,2008-9-7,塞尔维,法罗,2,0
1692,2007-11-25,塞尔维,哈萨克,1,0
1693,2007-11-22,塞尔维,波兰,2,2
1694,2007-9-9,塞尔维,芬兰,0,0
1695,2007-3-29,塞尔维,葡萄牙,1,1
1696,2006-11-16,塞尔维,挪威,1,1
1700,2017-11-11,乌克兰,斯洛伐,2,1
1701,2017-10-10,乌克兰,克罗地,0,2
1702,2017-9-3,乌克兰,土耳其,2,0
1703,2017-6-6,乌克兰,马耳他,0,1
1704,2016-11-16,乌克兰,塞尔维,2,0
1705,2016-11-13,乌克兰,芬兰,1,0
1706,2016-10-9,乌克兰,科索沃,3,0
1707,2016-9-6,乌克兰,冰岛,1,1
1708,2016-6-21,乌克兰,波兰,0,1
1709,2016-6-16,乌克兰,北爱,0,2
1710,2016-3-29,乌克兰,威尔士,1,0
1711,2016-3-25,乌克兰,塞浦路,1,0
1712,2015-11-15,乌克兰,斯洛文,2,0
1713,2015-10-13,乌克兰,西班牙,0,1
1714,2015-9-5,乌克兰,白俄,3,1
1715,2015-6-14,乌克兰,卢森堡,3,0
1716,2015-6-10,乌克兰,格鲁吉,2,1
1717,2015-4-1,乌克兰,拉脱维,1,1
1718,2014-11-19,乌克兰,立陶宛,0,0
1719,2014-10-12,乌克兰,马其顿,1,0
1720,2014-9-9,乌克兰,斯洛伐,0,1
1722,2014-3-6,乌克兰,美国,2,0
1723,2013-11-16,乌克兰,法国,2,0
1724,2013-10-12,乌克兰,波兰,1,0
1725,2013-9-11,乌克兰,英格兰,0,0
1726,2013-9-7,乌克兰,圣马力,9,0
1727,2013-8-15,乌克兰,以色列,2,0
1729,2013-3-27,乌克兰,摩尔多,2,1
1730,2012-10-17,乌克兰,黑山,0,1
1731,2012-8-16,乌克兰,捷克,0,0
1732,2012-6-15,乌克兰,法国,0,2
1733,2012-6-12,乌克兰,瑞典,2,1
1734,2012-5-29,乌克兰,爱沙尼,4,0
1735,2011-11-16,乌克兰,奥地利,2,1
1736,2011-11-12,乌克兰,德国,3,3
1737,2011-10-8,乌克兰,保加利,3,0
1738,2011-9-3,乌克兰,乌拉圭,2,3
1739,2011-8-11,乌克兰,瑞典,0,1
1740,2011-6-7,乌克兰,法国,1,4
1741,2011-6-2,乌克兰,乌兹别,2,0
1742,2011-3-30,乌克兰,意大利,0,2
1744,2010-10-9,乌克兰,加拿大,2,2
1745,2010-9-8,乌克兰,智利,2,1
1746,2010-8-12,乌克兰,荷兰,1,1
1747,2010-5-30,乌克兰,罗马尼,3,2
1748,2010-5-25,乌克兰,立陶宛,4,0
1749,2009-11-19,乌克兰,希腊,0,1
1750,2018-3-28,澳大利,哥伦比,0,0
1751,2017-11-15,澳大利,洪都拉,3,1
1752,2017-10-10,澳大利,叙利亚,1,1
1753,2017-9-5,澳大利,泰国,2,1
1754,2017-6-19,澳大利,德国,2,3
1755,2017-6-13,澳大利,巴西,0,4
1756,2017-6-8,澳大利,沙特,3,2
1757,2017-3-28,澳大利,阿联酋,2,0
1758,2016-10-11,澳大利,日本,1,1
1759,2016-9-1,澳大利,伊拉克,2,0
1760,2016-6-7,澳大利,希腊,1,2
1761,2016-6-4,澳大利,希腊,1,0
1762,2016-3-29,澳大利,约旦,5,1
1763,2016-3-24,澳大利,塔吉克,7,0
1764,2015-11-12,澳大利,吉尔吉,3,0
1765,2015-9-3,澳大利,孟加拉,5,0
1766,2015-1-31,澳大利,韩国,1,1
1767,2015-1-27,澳大利,阿联酋,2,0
1768,2015-1-17,澳大利,韩国,0,1
1769,2015-1-13,澳大利,阿曼,4,0
1770,2015-1-9,澳大利,科威特,4,1
1771,2014-6-23,澳大利,西班牙,0,3
1772,2014-6-18,澳大利,荷兰,2,3
1773,2014-5-26,澳大利,南非,1,1
1774,2014-3-6,澳大利,厄瓜多,3,4
1775,2013-11-19,澳大利,哥斯达,1,0
1776,2013-6-18,澳大利,伊拉克,1,0
1777,2013-6-11,澳大利,约旦,4,0
1778,2013-3-26,澳大利,阿曼,2,2
1779,2012-6-12,澳大利,日本,1,1
1780,2012-2-29,澳大利,沙特,4,2
1781,2011-10-11,澳大利,阿曼,3,0
1782,2011-10-7,澳大利,马来,5,0
1783,2011-9-2,澳大利,泰国,2,1
1784,2011-6-7,澳大利,塞尔维,0,0
1785,2011-6-5,澳大利,新西兰,3,0
1786,2011-1-29,澳大利,日本,0,0
1787,2011-1-22,澳大利,伊拉克,0,0
1788,2011-1-18,澳大利,巴林,1,0
1789,2011-1-14,澳大利,韩国,1,1
1790,2010-10-9,澳大利,巴拉圭,1,0
1791,2010-6-24,澳大利,塞尔维,2,1
1792,2010-6-1,澳大利,丹麦,1,0
1793,2010-5-24,澳大利,新西兰,2,1
1794,2010-3-3,澳大利,印尼,1,0
1795,2009-10-14,澳大利,阿曼,1,0
1796,2009-10-10,澳大利,荷兰,0,0
1797,2009-6-17,澳大利,日本,2,1
1798,2009-6-10,澳大利,巴林,2,0
1799,2009-4-1,澳大利,乌兹别,2,0
1800,2018-5-20,伊朗,乌兹别,1,0
1802,2017-11-10,伊朗,巴拿马,2,1
1803,2017-10-5,伊朗,多哥,2,0
1804,2017-9-5,伊朗,叙利亚,2,2
1805,2017-6-13,伊朗,乌兹别,2,0
1806,2017-3-28,伊朗,中国,1,0
1808,2016-10-11,伊朗,韩国,1,0
1809,2016-9-2,伊朗,卡塔尔,2,0
1810,2016-6-8,伊朗,吉尔吉,6,0
1811,2016-3-29,伊朗,阿曼,2,0
1812,2016-3-24,伊朗,印度,4,0
1813,2015-11-12,伊朗,土库曼,3,1
1814,2015-10-13,伊朗,日本,1,1
1815,2015-9-3,伊朗,关岛,6,0
1816,2015-3-27,伊朗,智利,2,0
1817,2015-1-23,伊朗,伊拉克,1,1
1818,2015-1-19,伊朗,阿联酋,1,0
1819,2015-1-11,伊朗,巴林,2,0
1820,2015-1-4,伊朗,伊拉克,1,0
1821,2014-11-18,伊朗,韩国,1,0
1822,2014-6-17,伊朗,尼日利,0,0
1825,2014-5-26,伊朗,黑山,0,0
1826,2014-5-19,伊朗,白俄,0,0
1827,2014-3-3,伊朗,科威特,3,2
1828,2013-10-15,伊朗,泰国,2,1
1829,2013-6-11,伊朗,黎巴嫩,4,0
1830,2013-2-6,伊朗,黎巴嫩,5,0
1831,2012-11-15,伊朗,乌兹别,0,1
1832,2012-10-17,伊朗,韩国,1,0
1833,2012-6-12,伊朗,卡塔尔,0,0
1834,2012-2-29,伊朗,卡塔尔,2,2
1835,2011-10-11,伊朗,巴林,6,0
1836,2011-9-2,伊朗,印尼,3,0
1838,2011-2-9,伊朗,俄罗斯,1,0
1839,2011-1-23,伊朗,韩国,0,0
1840,2011-1-15,伊朗,朝鲜,1,0
1841,2010-10-8,伊朗,巴西,0,3
1843,2010-3-3,伊朗,泰国,1,0
1845,2009-11-18,伊朗,马其顿,1,1
1846,2009-11-14,伊朗,约旦,1,0
1849,2009-6-10,伊朗,阿联酋,1,0
1850,2017-11-12,民刚果,几内亚,3,1
1851,2017-9-6,民刚果,突尼斯,2,2
1853,2017-6-11,民刚果,刚果,3,1
1854,2017-6-5,民刚果,博茨瓦,2,0
1856,2017-1-17,民刚果,摩洛哥,1,0
1857,2016-10-9,民刚果,利比亚,4,0
1858,2016-10-5,民刚果,肯尼亚,0,1
1859,2016-9-5,民刚果,中非,4,1
1861,2016-5-26,民刚果,罗马尼,1,1
1862,2016-3-26,民刚果,安哥拉,2,1
1867,2015-11-15,民刚果,布隆迪,2,2
1869,2015-6-14,民刚果,马达加斯,2,1
1870,2015-6-10,民刚果,喀麦隆,1,1
1871,2015-2-5,民刚果,科特迪,1,3
1872,2015-1-23,民刚果,佛得角,0,0
1873,2014-11-19,民刚果,塞拉利,3,1
1874,2014-10-11,民刚果,科特迪,1,2
1875,2014-9-6,民刚果,喀麦隆,0,2
1880,2013-6-16,民刚果,喀麦隆,0,0
1881,2013-3-24,民刚果,利比亚,0,0
1882,2013-1-29,民刚果,马里,1,1
1900,2018-6-2,土耳其,突尼斯,2,2
1901,2018-5-29,土耳其,伊朗,2,1
1902,2018-3-24,土耳其,爱尔兰,1,0
1903,2017-11-14,土耳其,阿尔巴,2,3
1904,2017-10-7,土耳其,冰岛,0,3
1905,2017-9-6,土耳其,克罗地,1,0
1906,2017-3-28,土耳其,摩尔多,3,1
1907,2017-3-25,土耳其,芬兰,2,0
1908,2016-11-13,土耳其,科索沃,2,0
1909,2016-10-7,土耳其,乌克兰,2,2
1910,2016-9-1,土耳其,俄罗斯,0,0
1911,2016-6-12,土耳其,克罗地,0,1
1912,2016-5-30,土耳其,黑山,1,0
1913,2016-3-25,土耳其,瑞典,2,1
1914,2015-11-18,土耳其,希腊,0,0
1915,2015-10-14,土耳其,冰岛,1,0
1916,2015-9-6,土耳其,荷兰,3,0
1917,2015-9-4,土耳其,拉脱维,1,1
1918,2015-6-9,土耳其,保加利,4,0
1919,2014-11-17,土耳其,哈萨克,3,1
1920,2014-11-13,土耳其,巴西,0,4
1921,2014-10-11,土耳其,捷克,1,2
1922,2014-5-30,土耳其,洪都拉,2,0
1923,2014-3-6,土耳其,瑞典,2,1
1924,2013-11-20,土耳其,白俄,2,1
1925,2013-11-16,土耳其,北爱,1,0
1926,2013-10-16,土耳其,荷兰,0,2
1927,2013-9-7,土耳其,安道尔,5,0
1928,2013-8-15,土耳其,加纳,2,2
1929,2013-6-1,土耳其,斯洛文,0,2
1930,2013-5-29,土耳其,拉脱维,3,3
1931,2013-3-27,土耳其,匈牙利,1,1
1932,2013-2-7,土耳其,捷克,0,2
1933,2012-11-15,土耳其,丹麦,1,1
1934,2012-10-13,土耳其,罗马尼,0,1
1935,2012-9-12,土耳其,爱沙尼,3,0
1936,2012-6-6,土耳其,乌克兰,2,0
1937,2012-3-1,土耳其,斯洛伐,1,2
1938,2011-11-12,土耳其,克罗地,0,3
1939,2011-10-12,土耳其,阿塞拜,1,0
1940,2011-10-8,土耳其,德国,1,3
1941,2011-9-3,土耳其,哈萨克,2,1
1942,2011-8-11,土耳其,爱沙尼,3,0
1943,2011-3-30,土耳其,奥地利,2,0
1944,2011-2-10,土耳其,韩国,0,0
1945,2010-9-8,土耳其,比利时,3,2
1946,2010-8-12,土耳其,罗马尼,2,0
1947,2010-5-23,土耳其,捷克,2,1
1948,2010-3-4,土耳其,洪都拉,2,0
1949,2009-10-15,土耳其,亚美尼,2,0
1950,2018-5-28,波黑,黑山,0,0
1951,2017-10-7,波黑,比利时,3,4
1952,2017-6-10,波黑,希腊,0,0
1953,2017-3-26,波黑,直布罗,5,0
1954,2016-10-11,波黑,塞浦路,2,0
1955,2016-9-7,波黑,爱沙尼,5,0
1956,2016-6-3,波黑,丹麦,2,2
1957,2015-11-14,波黑,爱尔兰,1,1
1958,2015-10-11,波黑,威尔士,2,0
1959,2015-9-7,波黑,安道尔,3,0
1960,2015-6-13,波黑,以色列,3,1
1961,2014-10-14,波黑,比利时,1,1
1962,2014-9-10,波黑,塞浦路,1,2
1963,2014-6-25,波黑,伊朗,3,1
1964,2014-5-31,波黑,科特迪,2,1
1965,2014-3-6,波黑,埃及,0,2
1966,2013-10-12,波黑,列支敦,4,1
1967,2013-9-7,波黑,斯洛伐,0,1
1968,2013-8-15,波黑,美国,3,4
1969,2013-3-23,波黑,希腊,3,1
1970,2012-10-17,波黑,立陶宛,3,0
1971,2012-9-12,波黑,拉脱维,4,1
1972,2012-2-29,波黑,巴西,1,2
1973,2011-11-12,波黑,葡萄牙,0,0
1974,2011-10-8,波黑,卢森堡,5,0
1975,2011-9-7,波黑,白俄,1,0
1976,2011-8-11,波黑,希腊,0,0
1977,2011-6-8,波黑,阿尔巴,2,0
1978,2011-3-27,波黑,罗马尼,2,1
1979,2010-9-8,波黑,法国,0,2
1980,2010-8-11,波黑,卡塔尔,1,1
1982,2009-11-19,波黑,葡萄牙,0,1
1983,2009-10-15,波黑,西班牙,2,5
1984,2009-9-10,波黑,土耳其,1,1
1986,2009-6-9,波黑,阿曼,2,1
1987,2009-4-2,波黑,比利时,2,1
1988,2008-10-16,波黑,亚美尼,4,1
1989,2008-9-11,波黑,爱沙尼,7,0
1991,2008-3-27,波黑,马其顿,2,2
1992,2007-10-18,波黑,挪威,0,2
1993,2007-9-13,波黑,摩尔多,0,1
1994,2007-8-23,波黑,克罗地,3,5
1996,2007-6-3,波黑,土耳其,3,2
1999,2006-8-17,波黑,法国,1,2
2000,2018-6-1,摩洛哥,乌克兰,0,0
2001,2018-3-28,摩洛哥,乌兹别,2,0
2002,2018-2-5,摩洛哥,尼日利,4,0
2003,2018-2-1,摩洛哥,利比亚,1,1
